Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,4/4/2022 18:41,FALSE,Austin Running,5.06,603,1:00:23,152,171,156,170,11:56,10:18,3,23,0.86,0,0,0,0,0,0:00,0,0:00,No,00:40.6,6,0,1:00:16,1:00:27,427,452
Running,4/2/2022 11:05,FALSE,Austin Running,3.06,378,0:35:05,163,179,159,169,11:27,10:23,2,21,0.88,0,0,0,0,0,0:00,0,0:00,No,00:45.5,4,0,0:34:59,0:35:05,427,453
Running,3/31/2022 18:37,FALSE,Austin Running,3.22,376,0:38:49,149,166,157,165,12:02,11:03,3,25,0.85,0,0,0,0,0,0:00,0,0:00,No,02:36.5,4,0,0:38:48,0:38:49,427,453
Running,3/30/2022 18:57,FALSE,Austin Running,3.22,387,0:37:34,157,172,158,167,11:40,10:03,8,28,0.88,0,0,0,0,0,0:00,0,0:00,No,02:32.4,4,0,0:37:27,0:37:40,427,452
Running,3/29/2022 17:58,FALSE,Austin Running,3.21,379,0:37:31,153,171,159,176,11:42,9:39,7,28,0.87,0,0,0,0,0,0:00,0,0:00,No,02:14.9,4,0,0:37:30,0:37:31,427,452
Running,3/28/2022 18:50,FALSE,Austin - 3k workout,3.8,442,0:40:48,163,186,154,176,10:45,8:04,21,20,0.96,0,0,0,0,0,0:00,0,0:00,No,02:11.8,9,0,0:40:22,0:40:56,427,452
Running,3/26/2022 10:48,FALSE,Austin Running,3.06,381,0:32:32,171,186,161,174,10:37,10:01,--,21,0.94,0,0,0,0,0,0:00,0,0:00,No,00:37.9,4,0,0:32:32,0:32:32,427,452
Running,3/25/2022 18:02,FALSE,Austin Running,3.21,388,0:37:57,154,173,157,168,11:50,10:18,31,31,0.87,0,0,0,0,0,0:00,0,0:00,No,02:18.0,4,0,0:37:41,0:38:14,427,452
Running,3/24/2022 18:36,FALSE,Austin Running,3.17,380,0:37:07,156,177,156,168,11:42,10:36,3,24,0.88,0,0,0,0,0,0:00,0,0:00,No,01:55.1,4,0,0:36:55,0:53:35,427,451
Running,3/23/2022 18:46,FALSE,Austin Running,2.01,235,0:24:20,146,159,156,167,12:06,10:01,7,30,0.85,0,0,0,0,0,0:00,0,0:00,No,00:09.9,3,0,0:24:19,0:29:14,427,453
Running,3/22/2022 18:33,FALSE,Austin - 3k workout,3.14,359,0:32:18,161,186,156,175,10:18,1:08,--,24,0.99,0,0,0,0,0,0:00,0,0:00,No,01:27.2,8,0,0:32:14,0:32:18,427,453
Running,3/19/2022 10:44,FALSE,Austin Running,3,360,0:38:36,151,170,144,169,12:51,10:39,16,37,0.87,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:38:24,0:38:40,427,451
Running,3/18/2022 17:29,FALSE,Austin Running,3.06,363,0:36:00,154,175,158,172,11:47,10:01,3,25,0.87,0,0,0,0,0,0:00,0,0:00,No,00:34.6,4,0,0:36:00,0:36:00,427,452
Running,3/17/2022 18:18,FALSE,Austin Running,3.16,373,0:38:15,151,169,157,165,12:05,11:01,--,19,0.85,0,0,0,0,0,0:00,0,0:00,No,01:51.0,4,0,0:38:10,0:38:16,427,450
Running,3/15/2022 18:46,FALSE,Austin Running,4.04,469,0:48:09,149,174,157,169,11:56,9:24,1,21,0.86,0,0,0,0,0,0:00,0,0:00,No,00:23.9,5,0,0:48:03,0:48:09,427,452
Running,3/14/2022 19:00,FALSE,Austin Running,3.04,367,0:36:32,156,177,156,170,12:01,10:16,2,23,0.86,0,0,0,0,0,0:00,0,0:00,No,00:24.6,4,0,0:36:30,0:36:32,427,451
Running,3/13/2022 11:49,FALSE,Austin Running,3.02,352,0:36:42,155,173,157,167,12:10,10:20,--,20,0.84,0,0,0,0,0,0:00,0,0:00,No,00:12.9,4,0,0:36:42,0:36:42,427,452
Running,3/12/2022 12:21,FALSE,Austin Running,3.08,376,0:35:57,158,178,158,168,11:40,10:27,2,22,0.87,0,0,0,0,0,0:00,0,0:00,No,00:49.0,4,0,0:35:56,0:35:57,427,452
Running,3/9/2022 17:35,FALSE,Austin Running,4.02,473,0:49:11,149,164,157,168,12:15,10:39,17,20,0.84,0,0,0,0,0,0:00,0,0:00,No,00:11.1,5,0,0:49:05,0:49:19,427,452
Running,3/8/2022 17:31,FALSE,Austin Running,2.03,240,0:23:56,149,171,160,172,11:49,10:23,12,21,0.85,0,0,0,0,0,0:00,0,0:00,No,00:13.7,3,0,0:23:54,0:24:00,430,453
Running,3/7/2022 17:41,FALSE,Austin Running,3.09,362,0:38:56,146,162,158,168,12:35,11:14,2,22,0.81,0,0,0,0,0,0:00,0,0:00,No,01:11.5,4,0,0:38:55,0:38:59,427,452
Running,3/1/2022 17:19,FALSE,Austin Running,3.04,369,0:38:56,150,169,156,169,12:49,11:19,3,24,0.8,0,0,0,0,0,0:00,0,0:00,No,00:28.6,4,0,0:38:55,0:39:02,427,452
Running,2/28/2022 17:29,FALSE,Austin Running,3.12,365,0:38:29,144,160,157,168,12:21,10:43,25,24,0.83,0,0,0,0,0,0:00,0,0:00,No,01:22.5,4,0,0:38:27,0:38:29,427,453
Running,2/23/2022 17:28,FALSE,Austin Running,3.1,352,0:39:46,140,151,158,167,12:50,11:53,17,22,0.8,0,0,0,0,0,0:00,0,0:00,No,01:10.8,4,0,0:39:40,0:39:54,427,453
Running,2/22/2022 17:52,FALSE,Austin Running,3.05,355,0:38:44,141,155,155,170,12:43,11:27,21,21,0.81,0,0,0,0,0,0:00,0,0:00,No,00:30.4,4,0,0:38:24,0:39:56,427,453
Running,2/20/2022 7:03,FALSE,Austin - Austin Marathon,26.52,"3,202",4:58:46,166,183,161,177,11:16,9:43,973,931,0.89,0,0,0,0,0,0:00,0,0:00,No,01:21.9,29,0,4:58:01,5:09:21,429,686
Running,2/19/2022 10:15,FALSE,Austin Running,3.01,369,0:36:44,158,174,160,170,12:12,11:03,--,20,0.83,0,0,0,0,0,0:00,0,0:00,No,00:08.3,4,0,0:36:43,0:36:47,427,453
Running,2/17/2022 17:08,FALSE,Austin Running,4.14,504,0:49:54,153,173,158,174,12:03,10:12,91,96,0.84,0,0,0,0,0,0:00,0,0:00,No,01:41.8,5,0,0:49:46,0:50:01,430,459
Running,2/16/2022 17:13,FALSE,Austin Running,4.13,508,0:50:07,156,172,157,171,12:08,10:20,93,93,0.85,0,0,0,0,0,0:00,0,0:00,No,01:35.4,5,0,0:50:01,0:50:20,430,460
Running,2/14/2022 17:25,FALSE,Austin Running,6.21,734,1:15:23,149,166,158,187,12:09,10:34,116,118,0.84,0,0,0,0,0,0:00,0,0:00,No,02:27.0,7,0,1:15:12,1:18:17,427,471
Running,2/12/2022 9:13,FALSE,Austin Running,10.19,"1,207",2:03:37,152,174,160,176,12:08,10:25,115,137,0.83,0,0,0,0,0,0:00,0,0:00,No,02:02.4,11,0,2:03:23,2:05:20,427,469
